,,BOUND INFO,,BB INFO,,,,,,,,ORIG PROB INFO,,,,,,,,,,,,,CLEANED PROB INFO,,,,,,,,,,,,,,,FULL BB INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VERSION INFO,,,,WRAP UP INFO,,,,END
INSTANCE,STRATEGY,ORIG LP OBJ,CLEANED LP OBJ,ORIG FIRST GUR NODES,CLEANED FIRST GUR NODES,ORIG BEST GUR NODES,CLEANED BEST GUR NODES,ORIG FIRST GUR TIME,CLEANED FIRST GUR TIME,ORIG BEST GUR TIME,CLEANED BEST GUR TIME,ORIG ROWS,ORIG COLS,ORIG NUM FRAC,ORIG MIN FRACTIONALITY,ORIG MAX FRACTIONALITY,ORIG EQ ROWS,ORIG BOUND ROWS,ORIG ASSIGN ROWS,ORIG FIXED COLS,ORIG GEN INT,ORIG BINARY,ORIG CONTINUOUS,ORIG A-DENSITY,CLEANED ROWS,CLEANED COLS,CLEANED NUM FRAC,CLEANED MIN FRACTIONALITY,CLEANED MAX FRACTIONALITY,CLEANED EQ ROWS,CLEANED BOUND ROWS,CLEANED ASSIGN ROWS,CLEANED FIXED COLS,CLEANED GEN INT,CLEANED BINARY,CLEANED CONTINUOUS,CLEANED A-DENSITY,CLEANED BOUNDS CHANGED,CLEANED NUM SB FIXED,ORIG FIRST GUR OBJ,CLEANED FIRST GUR OBJ,ORIG BEST GUR OBJ,CLEANED BEST GUR OBJ,ORIG AVG GUR OBJ,CLEANED AVG GUR OBJ,ORIG FIRST GUR BOUND,CLEANED FIRST GUR BOUND,ORIG BEST GUR BOUND,CLEANED BEST GUR BOUND,ORIG AVG GUR BOUND,CLEANED AVG GUR BOUND,ORIG FIRST GUR ITERS,CLEANED FIRST GUR ITERS,ORIG BEST GUR ITERS,CLEANED BEST GUR ITERS,ORIG AVG GUR ITERS,CLEANED AVG GUR ITERS,ORIG FIRST GUR NODES,CLEANED FIRST GUR NODES,ORIG BEST GUR NODES,CLEANED BEST GUR NODES,ORIG AVG GUR NODES,CLEANED AVG GUR NODES,ORIG FIRST GUR ROOT_PASSES,CLEANED FIRST GUR ROOT_PASSES,ORIG BEST GUR ROOT_PASSES,CLEANED BEST GUR ROOT_PASSES,ORIG AVG GUR ROOT_PASSES,CLEANED AVG GUR ROOT_PASSES,ORIG FIRST GUR FIRST_CUT_PASS,CLEANED FIRST GUR FIRST_CUT_PASS,ORIG BEST GUR FIRST_CUT_PASS,CLEANED BEST GUR FIRST_CUT_PASS,ORIG AVG GUR FIRST_CUT_PASS,CLEANED AVG GUR FIRST_CUT_PASS,ORIG FIRST GUR LAST_CUT_PASS,CLEANED FIRST GUR LAST_CUT_PASS,ORIG BEST GUR LAST_CUT_PASS,CLEANED BEST GUR LAST_CUT_PASS,ORIG AVG GUR LAST_CUT_PASS,CLEANED AVG GUR LAST_CUT_PASS,ORIG FIRST GUR ROOT_ITERS,CLEANED FIRST GUR ROOT_ITERS,ORIG BEST GUR ROOT_ITERS,CLEANED BEST GUR ROOT_ITERS,ORIG AVG GUR ROOT_ITERS,CLEANED AVG GUR ROOT_ITERS,ORIG FIRST GUR ROOT_TIME,CLEANED FIRST GUR ROOT_TIME,ORIG BEST GUR ROOT_TIME,CLEANED BEST GUR ROOT_TIME,ORIG AVG GUR ROOT_TIME,CLEANED AVG GUR ROOT_TIME,ORIG FIRST GUR LAST_SOL_TIME,CLEANED FIRST GUR LAST_SOL_TIME,ORIG BEST GUR LAST_SOL_TIME,CLEANED BEST GUR LAST_SOL_TIME,ORIG AVG GUR LAST_SOL_TIME,CLEANED AVG GUR LAST_SOL_TIME,ORIG FIRST GUR TIME,CLEANED FIRST GUR TIME,ORIG BEST GUR TIME,CLEANED BEST GUR TIME,ORIG AVG GUR TIME,CLEANED AVG GUR TIME,ORIG ALL GUR OBJ,ORIG ALL GUR BOUND,ORIG ALL GUR ITERS,ORIG ALL GUR NODES,ORIG ALL GUR ROOT_PASSES,ORIG ALL GUR FIRST_CUT_PASS,ORIG ALL GUR LAST_CUT_PASS,ORIG ALL GUR ROOT_ITERS,ORIG ALL GUR ROOT_TIME,ORIG ALL GUR LAST_SOL_TIME,ORIG ALL GUR TIME,CLEANED ALL GUR OBJ,CLEANED ALL GUR BOUND,CLEANED ALL GUR ITERS,CLEANED ALL GUR NODES,CLEANED ALL GUR ROOT_PASSES,CLEANED ALL GUR FIRST_CUT_PASS,CLEANED ALL GUR LAST_CUT_PASS,CLEANED ALL GUR ROOT_ITERS,CLEANED ALL GUR ROOT_TIME,CLEANED ALL GUR LAST_SOL_TIME,CLEANED ALL GUR TIME,vpc_version,cbc_version,clp_version,gurobi_version,cplex_version,ExitReason,end_time_string,time elapsed,instname,
22433,536,21240.52617079888659645803,21240.52617079889751039445,9,12,9,12,0.485,0.262,0.485,0.262,198,429,89,0.02479,0.46694,198,0,0,0,0,231,198,0.040121,198,232,90,0.02479,0.47383,1,0,0,0,1,231,0,0.069902,31,0,21477.00000000000000000000,21477.00000000002546585165,21477.00000000000000000000,21477.00000000002546585165,21477.00000000000000000000,21477.00000000002546585165,21477.00000000000000000000,21477.00000000002546585165,21477.00000000000000000000,21477.00000000002546585165,21477.00000000000000000000,21477.00000000002546585165,1061,901,1061,901,1061,901,9,12,9,12,9,12,19,12,19,12,19,12,21284.85327773248718585819,21329.96258362149455933832,21284.85327773248718585819,21329.96258362149455933832,21284.85327773248718585819,21329.96258362149455933832,21353.57574975542229367420,21396.46607883974502328783,21353.57574975542229367420,21396.46607883974502328783,21353.57574975542229367420,21396.46607883974502328783,713,460,713,460,713,460,0.462,0.238,0.462,0.238,0.462,0.238,0.214,0.259,0.214,0.259,0.214,0.259,0.485,0.262,0.485,0.262,0.485,0.262,21477.00000000000000000000,21477.00000000000000000000,1061,9,19,21284.853278,21353.575750,713,0.462393,0.214347,0.484599,21477.00000000002546585165,21477.00000000002546585165,901,12,12,21329.962584,21396.466079,460,0.237633,0.259209,0.261953,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 14:58:15 2023,0,22433,DONE
23588,536,7649.86613382250379800098,7649.86613382250197901158,1612,654,1612,654,2.766,1.472,2.766,1.472,137,368,73,0.00537,0.48035,137,0,0,0,0,231,137,0.073409,137,237,75,0.00537,0.48035,6,0,0,0,6,231,0,0.109951,33,0,8089.99999999999818101060,8090.00000000000090949470,8089.99999999999818101060,8090.00000000000090949470,8089.99999999999818101060,8090.00000000000090949470,8089.99999999999818101060,8090.00000000000090949470,8089.99999999999818101060,8090.00000000000090949470,8089.99999999999818101060,8090.00000000000090949470,42005,13332,42005,13332,42005,13332,1612,654,1612,654,1612,654,21,18,21,18,21,18,7713.57976322247850475833,7720.26879400698089739308,7713.57976322247850475833,7720.26879400698089739308,7713.57976322247850475833,7720.26879400698089739308,7753.41677345657626574393,7759.58780604845651396317,7753.41677345657626574393,7759.58780604845651396317,7753.41677345657626574393,7759.58780604845651396317,587,518,587,518,587,518,0.376,0.682,0.376,0.682,0.376,0.682,2.049,1.193,2.049,1.193,2.049,1.193,2.766,1.472,2.766,1.472,2.766,1.472,8089.99999999999818101060,8089.99999999999818101060,42005,1612,21,7713.579763,7753.416773,587,0.376213,2.049278,2.765946,8090.00000000000090949470,8090.00000000000090949470,13332,654,18,7720.268794,7759.587806,518,0.681707,1.192739,1.472239,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 14:58:19 2023,4,23588,DONE
10teams,536,916.99999999999977262632,917.00000000000034106051,1,1,1,1,1.454,0.937,1.454,0.937,230,2025,160,0.00422,0.50000,135,0,0,225,0,1800,225,0.026087,210,1600,160,0.00422,0.50000,120,0,0,0,0,1600,0,0.028571,0,0,924.00000000000000000000,924.00000000000000000000,924.00000000000000000000,924.00000000000000000000,924.00000000000000000000,924.00000000000000000000,924.00000000000000000000,924.00000000000000000000,924.00000000000000000000,924.00000000000000000000,924.00000000000000000000,924.00000000000000000000,12820,7695,12820,7695,12820,7695,1,1,1,1,1,1,7,4,7,4,7,4,924.00000000000034106051,924.00000000000011368684,924.00000000000034106051,924.00000000000011368684,924.00000000000034106051,924.00000000000011368684,923.99999999999977262632,923.99999999999954525265,923.99999999999977262632,923.99999999999954525265,923.99999999999977262632,923.99999999999954525265,12820,7695,12820,7695,12820,7695,1.108,0.723,1.108,0.723,1.108,0.723,1.453,0.936,1.453,0.936,1.453,0.936,1.454,0.937,1.454,0.937,1.454,0.937,924.00000000000000000000,924.00000000000000000000,12820,1,7,924.000000,924.000000,12820,1.108218,1.453229,1.453629,924.00000000000000000000,924.00000000000000000000,7695,1,4,924.000000,924.000000,7695,0.723366,0.936155,0.937058,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 14:58:17 2023,2,10teams,DONE
2club200v15p5scn,536,-121.22222222222218590559,-120.07692307692302335909,54528,55547,54528,55547,7200.002,7200.004,7200.002,7200.004,17013,200,167,0.05556,0.50000,0,0,0,0,0,200,0,0.030803,16999,200,178,0.01282,0.50000,0,0,0,0,0,200,0,0.030822,0,0,-70.00000000000000000000,-70.00000000000000000000,-70.00000000000000000000,-70.00000000000000000000,-70.00000000000000000000,-70.00000000000000000000,-101.00000000000000000000,-101.00000000000000000000,-101.00000000000000000000,-101.00000000000000000000,-101.00000000000000000000,-101.00000000000000000000,3584812,4127594,3584812,4127594,3584812,4127594,54528,55547,54528,55547,54528,55547,31,27,31,27,31,27,-117.93560606060611917201,-117.96153846153850963674,-117.93560606060611917201,-117.96153846153850963674,-117.93560606060611917201,-117.96153846153850963674,-116.59654583793555104876,-116.69593036378445560786,-116.59654583793555104876,-116.69593036378445560786,-116.59654583793555104876,-116.69593036378445560786,1526,1773,1526,1773,1526,1773,9.568,13.275,9.568,13.275,9.568,13.275,557.779,83.812,557.779,83.812,557.779,83.812,7200.002,7200.004,7200.002,7200.004,7200.002,7200.004,-70.00000000000000000000,-101.00000000000000000000,3584812,54528,31,-117.935606,-116.596546,1526,9.567973,557.778577,7200.001512,-70.00000000000000000000,-101.00000000000000000000,4127594,55547,27,-117.961538,-116.695930,1773,13.274898,83.811701,7200.004376,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 18:58:17 2023,14402,2club200v15p5scn,DONE
30_70_45_05_100,536,8.10000000000981934534,8.09999999998854036676,1,1,1,1,11.538,8.890,11.538,8.890,12050,10772,3902,0.00021,0.50000,0,0,0,1,0,10771,1,0.000354,12008,10744,3940,0.00008,0.50000,0,0,0,0,0,10744,0,0.000355,0,0,9.00000000000000000000,9.00000000000000000000,9.00000000000000000000,9.00000000000000000000,9.00000000000000000000,9.00000000000000000000,9.00000000000000000000,9.00000000000000000000,9.00000000000000000000,9.00000000000000000000,9.00000000000000000000,9.00000000000000000000,29125,36163,29125,36163,29125,36163,1,1,1,1,1,1,14,11,14,11,14,11,8.50000000000125055521,8.49999999999971578291,8.50000000000125055521,8.49999999999971578291,8.50000000000125055521,8.49999999999971578291,8.73529411764735641555,8.99999919999976327745,8.73529411764735641555,8.99999919999976327745,8.73529411764735641555,8.99999919999976327745,29125,36163,29125,36163,29125,36163,11.524,8.567,11.524,8.567,11.524,8.567,11.461,8.888,11.461,8.888,11.461,8.888,11.538,8.890,11.538,8.890,11.538,8.890,9.00000000000000000000,9.00000000000000000000,29125,1,14,8.500000,8.735294,29125,11.524334,11.461186,11.538254,9.00000000000000000000,9.00000000000000000000,36163,1,11,8.500000,8.999999,36163,8.566799,8.888171,8.889510,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 14:59:08 2023,53,30_70_45_05_100,DONE
30_70_45_095_100,536,2.99999999999378275106,3.00000000000636646291,1,1,1,1,5.286,9.556,5.286,9.556,12526,10976,4564,0.00042,0.50000,0,0,0,1,0,10975,1,0.000339,12502,10958,4519,0.00001,0.50000,0,0,0,0,1,10957,0,0.000340,0,0,3.00000000000000000000,3.00000000000000000000,3.00000000000000000000,3.00000000000000000000,3.00000000000000000000,3.00000000000000000000,3.00000000000000000000,3.00000000000000000000,3.00000000000000000000,3.00000000000000000000,3.00000000000000000000,3.00000000000000000000,22701,22489,22701,22489,22701,22489,1,1,1,1,1,1,0,0,0,0,0,0,3.00000000000000000000,3.00000000000000000000,3.00000000000000000000,3.00000000000000000000,3.00000000000000000000,3.00000000000000000000,3.00000000000000000000,3.00000000000000000000,3.00000000000000000000,3.00000000000000000000,3.00000000000000000000,3.00000000000000000000,22701,22489,22701,22489,22701,22489,0.000,0.000,0.000,0.000,0.000,0.000,5.242,9.555,5.242,9.555,5.242,9.555,5.286,9.556,5.286,9.556,5.286,9.556,3.00000000000000000000,3.00000000000000000000,22701,1,0,3.000000,3.000000,22701,0.000000,5.241735,5.286244,3.00000000000000000000,3.00000000000000000000,22489,1,0,3.000000,3.000000,22489,0.000000,9.554839,9.555851,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 14:59:09 2023,54,30_70_45_095_100,DONE
30_70_45_095_98,536,11.50000000000752820029,11.50000000000363797881,1,1,1,1,6.632,4.455,6.632,4.455,12471,10990,3878,0.00021,0.50000,0,0,0,1,0,10989,1,0.000338,12388,10903,4023,0.00008,0.50000,0,0,0,0,0,10903,0,0.000342,0,0,12.00000000000000000000,12.00000000000000000000,12.00000000000000000000,12.00000000000000000000,12.00000000000000000000,12.00000000000000000000,12.00000000000000000000,12.00000000000000000000,12.00000000000000000000,12.00000000000000000000,12.00000000000000000000,12.00000000000000000000,25470,21697,25470,21697,25470,21697,1,1,1,1,1,1,1,0,1,0,1,0,12.00000000000000000000,12.00000000000000000000,12.00000000000000000000,12.00000000000000000000,12.00000000000000000000,12.00000000000000000000,12.00000000000000000000,12.00000000000000000000,12.00000000000000000000,12.00000000000000000000,12.00000000000000000000,12.00000000000000000000,25470,21697,25470,21697,25470,21697,6.611,0.000,6.611,0.000,6.611,0.000,6.629,4.454,6.629,4.454,6.629,4.454,6.632,4.455,6.632,4.455,6.632,4.455,12.00000000000000000000,12.00000000000000000000,25470,1,1,12.000000,12.000000,25470,6.610766,6.628670,6.632065,12.00000000000000000000,12.00000000000000000000,21697,1,0,12.000000,12.000000,21697,0.000000,4.453696,4.454782,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 14:59:04 2023,49,30_70_45_095_98,DONE
30n20b8,536,1.56640764558771894421,124.12299590476365551694,593,536,593,536,59.510,36.376,59.510,36.376,576,18380,136,0.00023,0.49511,90,0,0,7282,62,18318,0,0.010362,387,4191,190,0.00229,0.49776,77,0,0,0,49,4142,0,0.021758,0,0,302.00000000000000000000,302.00000000000000000000,302.00000000000000000000,302.00000000000000000000,302.00000000000000000000,302.00000000000000000000,302.00000000000000000000,302.00000000000000000000,302.00000000000000000000,302.00000000000000000000,302.00000000000000000000,302.00000000000000000000,122083,130461,122083,130461,122083,130461,593,536,593,536,593,536,52,65,52,65,52,65,95.54837986401093985478,125.68501542425744332832,95.54837986401093985478,125.68501542425744332832,95.54837986401093985478,125.68501542425744332832,173.48711781630697714718,152.91926762330655265032,173.48711781630697714718,152.91926762330655265032,173.48711781630697714718,152.91926762330655265032,38332,30574,38332,30574,38332,30574,22.622,14.049,22.622,14.049,22.622,14.049,18.430,8.083,18.430,8.083,18.430,8.083,59.510,36.376,59.510,36.376,59.510,36.376,302.00000000000000000000,302.00000000000000000000,122083,593,52,95.548380,173.487118,38332,22.622417,18.430476,59.509876,302.00000000000000000000,302.00000000000000000000,130461,536,65,125.685015,152.919268,30574,14.049500,8.083126,36.376242,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 14:59:52 2023,97,30n20b8,DONE
50v-10,536,2879.06568685367255966412,2879.06568685367255966412,1004636,1003668,1004636,1003668,7200.003,7200.000,7200.003,7200.000,233,2013,29,0.06019,0.48611,50,0,0,0,183,1464,366,0.005853,233,2013,29,0.06019,0.48611,50,0,0,0,183,1464,366,0.005853,366,0,3311.17997992283881103504,3311.17997992283881103504,3311.17997992283881103504,3311.17997992283881103504,3311.17997992283881103504,3311.17997992283881103504,3305.89084187038224627031,3305.87888226147060777294,3305.89084187038224627031,3305.87888226147060777294,3305.89084187038224627031,3305.87888226147060777294,48396733,48353215,48396733,48353215,48396733,48353215,1004636,1003668,1004636,1003668,1004636,1003668,21,21,21,21,21,21,3092.18871034302765110624,3092.18871034302765110624,3092.18871034302765110624,3092.18871034302765110624,3092.18871034302765110624,3092.18871034302765110624,3199.38983301993539498653,3199.38983301993539498653,3199.38983301993539498653,3199.38983301993539498653,3199.38983301993539498653,3199.38983301993539498653,1780,1780,1780,1780,1780,1780,0.680,0.643,0.680,0.643,0.680,0.643,6452.669,6460.942,6452.669,6460.942,6452.669,6460.942,7200.003,7200.000,7200.003,7200.000,7200.003,7200.000,3311.17997992283881103504,3305.89084187038224627031,48396733,1004636,21,3092.188710,3199.389833,1780,0.679904,6452.668790,7200.002686,3311.17997992283881103504,3305.87888226147060777294,48353215,1003668,21,3092.188710,3199.389833,1780,0.643148,6460.942402,7200.000384,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 18:58:17 2023,14402,50v-10,DONE
